year,white,black,asian,otherIncMixed,unknownEthnicity,totalUkDomicile,totalNonUkDomicile
2005,1569425,92905,155755,52185,135770,2006035,330075
2006,1573540,97640,158595,56720,124845,2011345,351470
2007,1612895,104130,162090,64190,106920,2050220,349425
2008,1594980,111590,166795,68025,85695,2027085,368955
2009,1648070,118290,173075,73665,74515,2087615,405795
2010,1646875,119835,175020,76225,55120,2073070,428220
2011,1636395,121855,176450,80185,46525,2061410,435215
2012,1507845,117420,171395,79575,38780,1915015,424835
2013,1459815,116655,172215,81545,33630,1863860,435265
2014,1418685,117465,175235,84525,33290,1829195,436885
2015,1417300,122150,183510,90000,29320,1842315,438515
2016,1425665,130020,192780,96305,101825,1875125,442755
2017,1417860,133590,201580,101825,29720,1884575,458515
2018,1415105,137185,209705,107215,28995,1898205,495485
